Month,Airline,Service_Country,Flights_In,Passengers_In,Seats_In,Flights_Out,Passengers_Out,Seats_Out,Year,Month_num
Jun-91,British Airways,New Zealand,14,1971,3474,13,1041,3474,1991,6
Jun-91,British Airways,UK,56,13325,21616,55,14329,21230,1991,6
Jun-91,Canadian Airlines International,Canada,0,1833,2808,0,2891,2891,1991,6
Jun-91,Cathay Pacific Airways,Hong Kong,49,13315,18472,49,13685,18472,1991,6
Jun-91,Continental Airlines,Guam,14,1516,3976,14,1737,3976,1991,6
Jun-91,Continental Airlines,New Zealand,24,3938,6324,24,4143,6324,1991,6
Jun-91,Continental Airlines,USA,76,16036,21992,76,20125,21848,1991,6
Jun-91,Federal Express Corporation,USA,9,0,0,0,0,0,1991,6
Jun-91,Garuda Indonesia,Indonesia,69,9455,17574,70,13613,17825,1991,6
Jun-91,Gulf Air,Bahrain,9,668,1908,9,913,1908,1991,6
Jun-91,Japan Airlines,Japan,47,11289,19219,47,11951,19219,1991,6
Jun-91,KLM Royal Dutch Airlines,Netherlands,4,972,1548,4,1484,1548,1991,6
Jun-91,Korean Air,Korea,4,889,1476,4,922,1476,1991,6
Jun-91,Lauda Air,Austria,7,444,1281,7,764,1281,1991,6
Jun-91,Lufthansa German Airlines,Germany,27,4057,7056,27,4926,7056,1991,6
Jun-91,Malaysia Airlines,Malaysia,43,8143,12660,44,11283,13374,1991,6
Jun-91,Malaysia Airlines,New Zealand,9,557,1415,9,306,1132,1991,6
Jun-91,Merpati Nusantara Airlines,Indonesia,9,445,720,9,695,720,1991,6
Jun-91,Olympic Airways,Greece,9,1476,3888,9,3137,3888,1991,6
Jun-91,Philippine Airlines,Philippines,21,3703,5754,20,3659,5480,1991,6
Jun-91,Polynesian Airlines,Western Samoa,9,887,1332,9,891,1332,1991,6
Jun-91,Qantas Airways,Argentina,0,62,200,0,67,200,1991,6
Jun-91,Qantas Airways,Fiji,0,2020,3183,0,2486,3264,1991,6
Jun-91,Qantas Airways,Hong Kong,56,11257,17651,55,9502,17423,1991,6
Jun-91,Qantas Airways,Indonesia,32,7332,9277,32,7815,9277,1991,6
Jun-91,Qantas Airways,Italy,8,1296,2504,8,987,2504,1991,6
Jun-91,Qantas Airways,Japan,112,22624,32617,113,23399,32788,1991,6
Jun-91,Qantas Airways,Malaysia,17,3466,5712,17,3195,5870,1991,6
Jun-91,Qantas Airways,New Caledonia,9,667,1997,9,1003,1916,1991,6
Jun-91,Qantas Airways,New Zealand,170,21744,41522,171,22714,41854,1991,6
Jun-91,Qantas Airways,Papua New Guinea,26,2508,3785,29,3032,3962,1991,6
Jun-91,Qantas Airways,Philippines,5,908,1062,5,776,1062,1991,6
Jun-91,Qantas Airways,Singapore,78,12509,20698,78,13805,20540,1991,6
Jun-91,Qantas Airways,Solomon Islands,5,186,530,5,319,530,1991,6
Jun-91,Qantas Airways,Thailand,30,4516,6255,30,4669,6255,1991,6
